2,NAMESPACE_BLOCK,<empty>,,<unknown>,<global>,,<global>,1
9,NAMESPACE_BLOCK,<empty>,,audio\midi\MidiAudio.cpp,audio\midi\MidiAudio.cpp:<global>,,<global>,1
107,NAMESPACE_BLOCK,<empty>,,audio\midi\MidiAudio.hpp,audio\midi\MidiAudio.hpp:<global>,,<global>,1
162,NAMESPACE_BLOCK,<empty>,,audio\midi\precomp.cpp,audio\midi\precomp.cpp:<global>,,<global>,1
175,NAMESPACE_BLOCK,<empty>,,audio\midi\precomp.hpp,audio\midi\precomp.hpp:<global>,,<global>,1
180,NAMESPACE_BLOCK,<empty>,,buffer\out\DbcsAttribute.hpp,buffer\out\DbcsAttribute.hpp:<global>,,<global>,1
212,NAMESPACE_BLOCK,<empty>,,buffer\out\LineRendition.hpp,buffer\out\LineRendition.hpp:<global>,,<global>,1
286,NAMESPACE_BLOCK,<empty>,,buffer\out\OutputCell.cpp,buffer\out\OutputCell.cpp:<global>,,<global>,1
431,NAMESPACE_BLOCK,<empty>,,buffer\out\OutputCell.hpp,buffer\out\OutputCell.hpp:<global>,,<global>,1
573,NAMESPACE_BLOCK,<empty>,,buffer\out\OutputCellIterator.cpp,buffer\out\OutputCellIterator.cpp:<global>,,<global>,1
1215,NAMESPACE_BLOCK,<empty>,,buffer\out\OutputCellIterator.hpp,buffer\out\OutputCellIterator.hpp:<global>,,<global>,1
1385,NAMESPACE_BLOCK,<empty>,,buffer\out\OutputCellRect.cpp,buffer\out\OutputCellRect.cpp:<global>,,<global>,1
1503,NAMESPACE_BLOCK,<empty>,,buffer\out\OutputCellRect.hpp,buffer\out\OutputCellRect.hpp:<global>,,<global>,1
1549,NAMESPACE_BLOCK,<empty>,,buffer\out\OutputCellView.cpp,buffer\out\OutputCellView.cpp:<global>,,<global>,1
1643,NAMESPACE_BLOCK,<empty>,,buffer\out\OutputCellView.hpp,buffer\out\OutputCellView.hpp:<global>,,<global>,1
1736,NAMESPACE_BLOCK,<empty>,,buffer\out\Row.cpp,buffer\out\Row.cpp:<global>,,<global>,1
4363,NAMESPACE_BLOCK,<empty>,,buffer\out\Row.hpp,buffer\out\Row.hpp:<global>,,<global>,1
4920,NAMESPACE_BLOCK,<empty>,,buffer\out\TextAttribute.cpp,buffer\out\TextAttribute.cpp:<global>,,<global>,1
4942,NAMESPACE_BLOCK,"namespace
{
    constexpr std::array<TextColor, 16> s_initLegacyColorMap(const BYTE defaultIndex)
    {
        std::array<TextColor, 16> legacyColorMap;
        for (auto i = 0u; i < legacyColorMap.size(); i++)
        {
            const auto legacyIndex = TextColor::TransposeLegacyIndex(i);
            gsl::at(legacyColorMap, i) = i == defaultIndex ? TextColor{} : TextColor{ legacyIndex, true };
        }
        return legacyColorMap;
    }

    BYTE s_legacyDefaultForeground = 7;
    BYTE s_legacyDefaultBackground = 0;
    BYTE s_ansiDefaultForeground = 7;
    BYTE s_ansiDefaultBackground = 0;
}",1,buffer\out\TextAttribute.cpp,anonymous_namespace_0,17,,5
5779,NAMESPACE_BLOCK,<empty>,,buffer\out\TextAttribute.hpp,buffer\out\TextAttribute.hpp:<global>,,<global>,1
6240,NAMESPACE_BLOCK,<empty>,,buffer\out\TextColor.cpp,buffer\out\TextColor.cpp:<global>,,<global>,1
7070,NAMESPACE_BLOCK,<empty>,,buffer\out\TextColor.hpp,buffer\out\TextColor.hpp:<global>,,<global>,1
7330,NAMESPACE_BLOCK,<empty>,,buffer\out\UTextAdapter.cpp,buffer\out\UTextAdapter.cpp:<global>,,<global>,1
7617,NAMESPACE_BLOCK,<empty>,,buffer\out\UTextAdapter.hpp,buffer\out\UTextAdapter.hpp:<global>,,<global>,1
7622,NAMESPACE_BLOCK,"namespace Microsoft::Console::ICU
{
    using unique_uregex = wistd::unique_ptr<URegularExpression, wil::function_deleter<decltype(&uregex_close), &uregex_close>>;

    UText UTextFromTextBuffer(const TextBuffer& textBuffer, til::CoordType rowBeg, til::CoordType rowEnd) noexcept;
    unique_uregex CreateRegex(const std::wstring_view& pattern, uint32_t flags, UErrorCode* status) noexcept;
    til::point_span BufferRangeFromMatch(UText* ut, URegularExpression* re);
}",1,buffer\out\UTextAdapter.hpp,Microsoft,10,Microsoft,2
7623,NAMESPACE_BLOCK,"namespace Microsoft::Console::ICU
{
    using unique_uregex = wistd::unique_ptr<URegularExpression, wil::function_deleter<decltype(&uregex_close), &uregex_close>>;

    UText UTextFromTextBuffer(const TextBuffer& textBuffer, til::CoordType rowBeg, til::CoordType rowEnd) noexcept;
    unique_uregex CreateRegex(const std::wstring_view& pattern, uint32_t flags, UErrorCode* status) noexcept;
    til::point_span BufferRangeFromMatch(UText* ut, URegularExpression* re);
}",1,buffer\out\UTextAdapter.hpp,Microsoft.Console,10,Console,1
7624,NAMESPACE_BLOCK,"namespace Microsoft::Console::ICU
{
    using unique_uregex = wistd::unique_ptr<URegularExpression, wil::function_deleter<decltype(&uregex_close), &uregex_close>>;

    UText UTextFromTextBuffer(const TextBuffer& textBuffer, til::CoordType rowBeg, til::CoordType rowEnd) noexcept;
    unique_uregex CreateRegex(const std::wstring_view& pattern, uint32_t flags, UErrorCode* status) noexcept;
    til::point_span BufferRangeFromMatch(UText* ut, URegularExpression* re);
}",1,buffer\out\UTextAdapter.hpp,Microsoft.Console.ICU,10,ICU,1
7653,NAMESPACE_BLOCK,<empty>,,buffer\out\cursor.cpp,buffer\out\cursor.cpp:<global>,,<global>,1
8062,NAMESPACE_BLOCK,<empty>,,buffer\out\cursor.hpp,buffer\out\cursor.hpp:<global>,,<global>,1
8301,NAMESPACE_BLOCK,<empty>,,buffer\out\precomp.cpp,buffer\out\precomp.cpp:<global>,,<global>,1
8310,NAMESPACE_BLOCK,<empty>,,buffer\out\precomp.hpp,buffer\out\precomp.hpp:<global>,,<global>,1
8321,NAMESPACE_BLOCK,<empty>,,buffer\out\search.cpp,buffer\out\search.cpp:<global>,,<global>,1
8743,NAMESPACE_BLOCK,<empty>,,buffer\out\search.hpp,buffer\out\search.hpp:<global>,,<global>,1
9045,NAMESPACE_BLOCK,<empty>,,buffer\out\textBuffer.cpp,buffer\out\textBuffer.cpp:<global>,,<global>,1
15504,NAMESPACE_BLOCK,<empty>,,buffer\out\textBuffer.hpp,buffer\out\textBuffer.hpp:<global>,,<global>,1
15509,NAMESPACE_BLOCK,"namespace Microsoft::Console::Render
{
    class Renderer;
}",1,buffer\out\textBuffer.hpp,Microsoft,64,Microsoft,2
15510,NAMESPACE_BLOCK,"namespace Microsoft::Console::Render
{
    class Renderer;
}",1,buffer\out\textBuffer.hpp,Microsoft.Console,64,Console,1
15511,NAMESPACE_BLOCK,"namespace Microsoft::Console::Render
{
    class Renderer;
}",1,buffer\out\textBuffer.hpp,Microsoft.Console.Render,64,Render,1
16349,NAMESPACE_BLOCK,<empty>,,buffer\out\textBufferCellIterator.cpp,buffer\out\textBufferCellIterator.cpp:<global>,,<global>,1
16936,NAMESPACE_BLOCK,<empty>,,buffer\out\textBufferCellIterator.hpp,buffer\out\textBufferCellIterator.hpp:<global>,,<global>,1
17056,NAMESPACE_BLOCK,<empty>,,buffer\out\textBufferTextIterator.cpp,buffer\out\textBufferTextIterator.cpp:<global>,,<global>,1
17087,NAMESPACE_BLOCK,<empty>,,buffer\out\textBufferTextIterator.hpp,buffer\out\textBufferTextIterator.hpp:<global>,,<global>,1
17122,NAMESPACE_BLOCK,<empty>,,buffer\out\ut_textbuffer\ReflowTests.cpp,buffer\out\ut_textbuffer\ReflowTests.cpp:<global>,,<global>,1
