385,RETURN,-1,,return 1;,9,208,1
394,RETURN,-1,,return 1;,9,212,1
404,RETURN,-1,,return 0;,13,219,1
427,RETURN,-1,,return 1;,9,236,1
457,RETURN,-1,,return 1;,9,255,1
468,RETURN,-1,,return 1;,9,259,1
477,RETURN,-1,,return 1;,9,263,1
485,RETURN,-1,,return 1;,9,267,1
492,RETURN,-1,,return 1;,9,275,1
502,RETURN,-1,,return 1;,9,285,1
509,RETURN,-1,,return 1;,9,289,1
532,RETURN,-1,,return 1;,9,299,2
618,RETURN,-1,,return 0;,9,325,3
623,RETURN,-1,,"return ngx_signal_process(cycle, ngx_signal);",9,329,1
663,RETURN,-1,,return 1;,9,345,1
681,RETURN,-1,,return 1;,13,350,1
704,RETURN,-1,,return 1;,9,363,1
712,RETURN,-1,,return 1;,9,367,1
748,RETURN,-1,,return 0;,5,386,46
785,RETURN,-1,,return NGX_OK;,9,468,1
810,RETURN,-1,,return NGX_ERROR;,9,478,1
868,RETURN,-1,,return NGX_ERROR;,17,496,1
895,RETURN,-1,,return ngx_set_inherited_sockets(cycle);,5,514,13
929,RETURN,-1,,return ccf->environment;,9,530,1
990,RETURN,-1,,return NULL;,9,545,1
1112,RETURN,-1,,return NULL;,13,578,1
1132,RETURN,-1,,return NULL;,13,586,1
1151,RETURN,-1,,return NULL;,13,591,1
1273,RETURN,-1,,return env;,5,625,25
1289,RETURN,-1,,return;,9,641,1
1343,RETURN,-1,,return NGX_INVALID_PID;,9,668,1
1372,RETURN,-1,,return NGX_INVALID_PID;,9,676,2
1458,RETURN,-1,,return NGX_INVALID_PID;,9,726,4
1491,RETURN,-1,,return pid;,5,745,32
1532,RETURN,-1,,return NGX_ERROR;,13,761,2
1617,RETURN,-1,,return NGX_ERROR;,17,808,35
1648,RETURN,-1,,return NGX_ERROR;,21,819,2
1690,RETURN,-1,,return NGX_ERROR;,17,840,46
1719,RETURN,-1,,return NGX_ERROR;,17,854,52
1750,RETURN,-1,,return NGX_ERROR;,21,865,2
1785,RETURN,-1,,return NGX_ERROR;,17,878,58
1795,RETURN,-1,,return NGX_ERROR;,17,882,61
1799,RETURN,-1,,return NGX_OK;,5,891,4
1835,RETURN,-1,,return NGX_ERROR;,9,913,1
1872,RETURN,-1,,return NGX_ERROR;,13,921,1
1896,RETURN,-1,,return NGX_OK;,5,933,10
1940,RETURN,-1,,return NGX_ERROR;,17,950,1
1994,RETURN,-1,,return NGX_ERROR;,13,968,1
2004,RETURN,-1,,return NGX_ERROR;,13,973,2
2081,RETURN,-1,,return NGX_ERROR;,9,1006,1
2196,RETURN,-1,,return NGX_OK;,5,1037,10
2217,RETURN,-1,,return NULL;,9,1048,1
2288,RETURN,-1,,return NULL;,9,1079,1
2290,RETURN,-1,,return ccf;,5,1082,15
