10,BLOCK,-1,,<empty>,1,,1,1,,ANY
12,BLOCK,-1,,"{
   SQLHENV henv;
   SQLRETURN retcode;

   retcode = SQLAllocHandle(SQL_HANDLE_ENV, SQL_NULL_HANDLE, &henv);
   if (retcode == SQL_SUCCESS || retcode == SQL_SUCCESS_WITH_INFO) {
       SQLFreeHandle(SQL_HANDLE_ENV, henv);
   }
   return 1;
}",12,,6,1,,void
30,BLOCK,-1,,"{
       SQLFreeHandle(SQL_HANDLE_ENV, henv);
   }",68,,11,2,,void
44,BLOCK,-1,,<empty>,1,,1,1,,ANY
48,BLOCK,-1,,"{
	boost::atomic<bool> b;
}",32,,3,3,,void
58,BLOCK,-1,,<empty>,1,,1,1,,ANY
62,BLOCK,-1,,"{
	boost::filesystem::path p;
}",32,,3,3,,void
72,BLOCK,-1,,<empty>,1,,1,1,,ANY
76,BLOCK,-1,,"{
	boost::mutex mutex;
	return 0;
}",32,,3,3,,void
88,BLOCK,-1,,<empty>,1,,1,1,,ANY
92,BLOCK,-1,,"{
	boost::shared_mutex mtx;
	return 0;
}",32,,3,3,,void
104,BLOCK,-1,,<empty>,1,,1,1,,ANY
110,BLOCK,-1,,"{
	boost::shared_ptr<foo> fooptr;
	return 0;
}",32,,7,3,,void
122,BLOCK,-1,,<empty>,1,,1,1,,ANY
126,BLOCK,-1,,"{
	boost::thread th;
	return 0;
}",32,,3,3,,void
138,BLOCK,-1,,<empty>,1,,1,1,,ANY
142,BLOCK,-1,,"{
	std::atomic<bool> b;
}",32,,3,3,,void
152,BLOCK,-1,,<empty>,1,,1,1,,ANY
156,BLOCK,-1,,"{
	std::experimental::filesystem::path p;
}",32,,3,3,,void
166,BLOCK,-1,,<empty>,1,,1,1,,ANY
170,BLOCK,-1,,"{
	std::filesystem::path p;
}",32,,3,3,,void
180,BLOCK,-1,,<empty>,1,,1,1,,ANY
184,BLOCK,-1,,"{
	std::mutex mutex;
	return 0;
}",32,,3,3,,void
196,BLOCK,-1,,<empty>,1,,1,1,,ANY
200,BLOCK,-1,,"{
	std::shared_mutex shared;
	return 0;
}",32,,3,3,,void
212,BLOCK,-1,,<empty>,1,,1,1,,ANY
218,BLOCK,-1,,"{
	std::shared_ptr<foo> fooptr;
	return 0;
}",32,,7,3,,void
230,BLOCK,-1,,<empty>,1,,1,1,,ANY
234,BLOCK,-1,,"{
	std::thread th;
	return 0;
}",32,,3,3,,void
246,BLOCK,-1,,<empty>,1,,1,1,,ANY
250,BLOCK,-1,,"{
	std::make_unique<int>(5);
	return 0;
}",32,,3,3,,void
266,BLOCK,-1,,<empty>,1,,1,1,,ANY
268,BLOCK,-1,,"{
	thread_local std::string thread_id_string;
    return thread_id_string;
}",1,,4,1,,void
275,BLOCK,-1,,"{
	getCurrentThreadVar() = ""name"";
}",11,,9,1,,void
