8,TYPE_DECL,,cmake\SQLAllocHandleTest.cpp:<global>,NAMESPACE_BLOCK,<global>,1,cmake\SQLAllocHandleTest.cpp,cmake\SQLAllocHandleTest.cpp:<global>,,false,1,<global>,3
42,TYPE_DECL,,cmake\boost-fallback\test-boostatomic.cpp:<global>,NAMESPACE_BLOCK,<global>,1,cmake\boost-fallback\test-boostatomic.cpp,cmake\boost-fallback\test-boostatomic.cpp:<global>,,false,1,<global>,2
56,TYPE_DECL,,cmake\boost-fallback\test-boostfilesystem.cpp:<global>,NAMESPACE_BLOCK,<global>,1,cmake\boost-fallback\test-boostfilesystem.cpp,cmake\boost-fallback\test-boostfilesystem.cpp:<global>,,false,1,<global>,2
70,TYPE_DECL,,cmake\boost-fallback\test-boostmutex.cpp:<global>,NAMESPACE_BLOCK,<global>,1,cmake\boost-fallback\test-boostmutex.cpp,cmake\boost-fallback\test-boostmutex.cpp:<global>,,false,1,<global>,2
86,TYPE_DECL,,cmake\boost-fallback\test-boostsharedmutex.cpp:<global>,NAMESPACE_BLOCK,<global>,1,cmake\boost-fallback\test-boostsharedmutex.cpp,cmake\boost-fallback\test-boostsharedmutex.cpp:<global>,,false,1,<global>,2
102,TYPE_DECL,,cmake\boost-fallback\test-boostsharedptr.cpp:<global>,NAMESPACE_BLOCK,<global>,1,cmake\boost-fallback\test-boostsharedptr.cpp,cmake\boost-fallback\test-boostsharedptr.cpp:<global>,,false,1,<global>,2
105,TYPE_DECL,,,,"struct foo{
	int x;
}",1,cmake\boost-fallback\test-boostsharedptr.cpp,foo,,false,3,foo,1
120,TYPE_DECL,,cmake\boost-fallback\test-boostthread.cpp:<global>,NAMESPACE_BLOCK,<global>,1,cmake\boost-fallback\test-boostthread.cpp,cmake\boost-fallback\test-boostthread.cpp:<global>,,false,1,<global>,2
136,TYPE_DECL,,cmake\boost-fallback\test-stdatomic.cpp:<global>,NAMESPACE_BLOCK,<global>,1,cmake\boost-fallback\test-stdatomic.cpp,cmake\boost-fallback\test-stdatomic.cpp:<global>,,false,1,<global>,2
150,TYPE_DECL,,cmake\boost-fallback\test-stdexpfilesystem.cpp:<global>,NAMESPACE_BLOCK,<global>,1,cmake\boost-fallback\test-stdexpfilesystem.cpp,cmake\boost-fallback\test-stdexpfilesystem.cpp:<global>,,false,1,<global>,2
164,TYPE_DECL,,cmake\boost-fallback\test-stdfilesystem.cpp:<global>,NAMESPACE_BLOCK,<global>,1,cmake\boost-fallback\test-stdfilesystem.cpp,cmake\boost-fallback\test-stdfilesystem.cpp:<global>,,false,1,<global>,2
178,TYPE_DECL,,cmake\boost-fallback\test-stdmutex.cpp:<global>,NAMESPACE_BLOCK,<global>,1,cmake\boost-fallback\test-stdmutex.cpp,cmake\boost-fallback\test-stdmutex.cpp:<global>,,false,1,<global>,2
194,TYPE_DECL,,cmake\boost-fallback\test-stdsharedmutex.cpp:<global>,NAMESPACE_BLOCK,<global>,1,cmake\boost-fallback\test-stdsharedmutex.cpp,cmake\boost-fallback\test-stdsharedmutex.cpp:<global>,,false,1,<global>,2
