384,RETURN,-1,,return 1;,9,207,1
393,RETURN,-1,,return 1;,9,211,1
403,RETURN,-1,,return 0;,13,218,1
425,RETURN,-1,,return 1;,9,235,1
455,RETURN,-1,,return 1;,9,254,1
466,RETURN,-1,,return 1;,9,258,1
475,RETURN,-1,,return 1;,9,262,1
483,RETURN,-1,,return 1;,9,266,1
490,RETURN,-1,,return 1;,9,274,1
500,RETURN,-1,,return 1;,9,284,1
507,RETURN,-1,,return 1;,9,288,1
530,RETURN,-1,,return 1;,9,298,2
616,RETURN,-1,,return 0;,9,324,3
621,RETURN,-1,,"return ngx_signal_process(cycle, ngx_signal);",9,328,1
661,RETURN,-1,,return 1;,9,344,1
679,RETURN,-1,,return 1;,13,349,1
702,RETURN,-1,,return 1;,9,362,1
710,RETURN,-1,,return 1;,9,366,1
746,RETURN,-1,,return 0;,5,385,46
783,RETURN,-1,,return NGX_OK;,9,461,1
808,RETURN,-1,,return NGX_ERROR;,9,471,1
866,RETURN,-1,,return NGX_ERROR;,17,489,1
888,RETURN,-1,,return ngx_set_inherited_sockets(cycle);,5,506,13
922,RETURN,-1,,return ccf->environment;,9,522,1
983,RETURN,-1,,return NULL;,9,537,1
1105,RETURN,-1,,return NULL;,13,570,1
1125,RETURN,-1,,return NULL;,13,578,1
1144,RETURN,-1,,return NULL;,13,583,1
1266,RETURN,-1,,return env;,5,617,25
1282,RETURN,-1,,return;,9,633,1
1336,RETURN,-1,,return NGX_INVALID_PID;,9,660,1
1365,RETURN,-1,,return NGX_INVALID_PID;,9,668,2
1451,RETURN,-1,,return NGX_INVALID_PID;,9,718,4
1484,RETURN,-1,,return pid;,5,737,32
1525,RETURN,-1,,return NGX_ERROR;,13,753,2
1610,RETURN,-1,,return NGX_ERROR;,17,800,35
1639,RETURN,-1,,return NGX_ERROR;,17,814,41
1668,RETURN,-1,,return NGX_ERROR;,17,828,47
1699,RETURN,-1,,return NGX_ERROR;,21,839,2
1734,RETURN,-1,,return NGX_ERROR;,17,852,53
1744,RETURN,-1,,return NGX_ERROR;,17,856,56
1748,RETURN,-1,,return NGX_OK;,5,865,4
1784,RETURN,-1,,return NGX_ERROR;,9,887,1
1821,RETURN,-1,,return NGX_ERROR;,13,895,1
1845,RETURN,-1,,return NGX_OK;,5,907,10
1889,RETURN,-1,,return NGX_ERROR;,17,924,1
1943,RETURN,-1,,return NGX_ERROR;,13,942,1
1953,RETURN,-1,,return NGX_ERROR;,13,947,2
2030,RETURN,-1,,return NGX_ERROR;,9,980,1
2119,RETURN,-1,,return NGX_OK;,5,1003,9
2140,RETURN,-1,,return NULL;,9,1014,1
2211,RETURN,-1,,return NULL;,9,1045,1
2213,RETURN,-1,,return ccf;,5,1048,15
2281,RETURN,-1,,return NGX_CONF_ERROR;,9,1086,1
2321,RETURN,-1,,return NGX_CONF_ERROR;,9,1093,1
2370,RETURN,-1,,return NGX_CONF_ERROR;,13,1111,2
2396,RETURN,-1,,return NGX_CONF_ERROR;,13,1122,2
2431,RETURN,-1,,return NGX_CONF_ERROR;,9,1134,1
2522,RETURN,-1,,return NGX_CONF_ERROR;,13,1158,1
2566,RETURN,-1,,return NGX_CONF_ERROR;,13,1166,1
2588,RETURN,-1,,return NGX_CONF_OK;,5,1177,19
