11,METHOD,android\error.c:<global>,TYPE_DECL,<global>,1,11,android\error.c,android\error.c:<global>,,false,1,39,<global>,,,1,
13,METHOD,android\error.c:<global>,TYPE_DECL,"const char* vlc_strerror(int errnum)
{
    return vlc_strerror_c(errnum);
}",1,1,android\error.c,vlc_strerror,,false,29,32,vlc_strerror,,,1,const char* vlc_strerror (int)
21,METHOD,android\error.c:<global>,TYPE_DECL,"const char* vlc_strerror_c(int errnum)
{
    static __thread char android_buf[100];
    strerror_r(errnum, android_buf, 100);
    return android_buf;
}",1,11,android\error.c,vlc_strerror_c,,false,34,39,vlc_strerror_c,,,2,const char* vlc_strerror_c (int)
54,METHOD,android\specific.c:<global>,TYPE_DECL,<global>,1,20,android\specific.c,android\specific.c:<global>,,false,1,392,<global>,,,1,
87,METHOD,android\specific.c:<global>,TYPE_DECL,"static char *
get_java_string(JNIEnv *env, jclass clazz, const char *psz_name)
{
    jfieldID id = (*env)->GetStaticFieldID(env, clazz, psz_name,
                                           ""Ljava/lang/String;"");
    if ((*env)->ExceptionCheck(env))
    {
        (*env)->ExceptionClear(env);
        return NULL;
    }

    jstring jstr = (*env)->GetStaticObjectField(env, clazz, id);

    const char *psz_str = (*env)->GetStringUTFChars(env, jstr, 0);
    if (psz_str == NULL)
        return NULL;

    char *psz_strdup = strdup(psz_str);

    (*env)->ReleaseStringUTFChars(env, jstr, psz_str);
    (*env)->DeleteLocalRef(env, jstr);

    return psz_strdup;
}",1,1,android\specific.c,get_java_string,,false,53,76,get_java_string,,,8,"char* get_java_string (JNIEnv*,jclass,char*)"
173,METHOD,android\specific.c:<global>,TYPE_DECL,"void
JNI_OnUnload(JavaVM* vm, void* reserved)
{
    (void) reserved;

    for (size_t i = 0; i < GENERIC_DIR_COUNT; ++i)
        free(ppsz_generic_names[i]);

    JNIEnv* env = NULL;
    if ((*vm)->GetEnv(vm, (void**) &env, JNI_VERSION_1_2) != JNI_OK)
        return;

    if (fields.Environment.clazz)
        (*env)->DeleteGlobalRef(env, fields.Environment.clazz);

    if (fields.System.clazz)
        (*env)->DeleteGlobalRef(env, fields.System.clazz);
}",1,27,android\specific.c,JNI_OnUnload,,false,78,95,JNI_OnUnload,,,9,"void JNI_OnUnload (JavaVM*,void*)"
259,METHOD,android\specific.c:<global>,TYPE_DECL,"jint
JNI_OnLoad(JavaVM *vm, void *reserved)
{
    s_jvm = vm;
    JNIEnv* env = NULL;

    if ((*vm)->GetEnv(vm, (void**) &env, JNI_VERSION_1_2) != JNI_OK)
        return -1;

    jclass clazz = (*env)->FindClass(env, ""android/os/Environment"");
    if ((*env)->ExceptionCheck(env))
        return -1;

    static const char *ppsz_env_names[GENERIC_DIR_COUNT] = {
        NULL,                   /* VLC_DESKTOP_DIR */
        ""DIRECTORY_DOWNLOADS"",  /* VLC_DOWNLOAD_DIR */
        NULL,                   /* VLC_TEMPLATES_DIR */
        NULL,                   /* VLC_PUBLICSHARE_DIR */
        ""DIRECTORY_DOCUMENTS"",  /* VLC_DOCUMENTS_DIR */
        ""DIRECTORY_MUSIC"",      /* VLC_MUSIC_DIR */
        ""DIRECTORY_PICTURES"",   /* VLC_PICTURES_DIR */
        ""DIRECTORY_MOVIES"",     /* VLC_VIDEOS_DIR */
    };
    for (size_t i = 0; i < GENERIC_DIR_COUNT; ++i)
    {
        if (ppsz_env_names[i] != NULL)
            ppsz_generic_names[i] = get_java_string(env, clazz,
                            ...",1,38,android\specific.c,JNI_OnLoad,,false,100,163,JNI_OnLoad,,,10,"jint JNI_OnLoad (JavaVM*,void*)"
514,METHOD,android\specific.c:<global>,TYPE_DECL,"void
system_Init(void)
{
}",1,1,android\specific.c,system_Init,,false,165,168,system_Init,,,11,void system_Init (void)
519,METHOD,android\specific.c:<global>,TYPE_DECL,"void
system_Configure(libvlc_int_t *p_libvlc, int i_argc, const char *const pp_argv[])
{
    (void)i_argc; (void)pp_argv;
    assert(s_jvm != NULL);
    var_Create(p_libvlc, ""android-jvm"", VLC_VAR_ADDRESS);
    var_SetAddress(p_libvlc, ""android-jvm"", s_jvm);
}",1,1,android\specific.c,system_Configure,,false,170,177,system_Configure,,,12,"void system_Configure (libvlc_int_t*,int,char[]*)"
544,METHOD,android\specific.c:<global>,TYPE_DECL,"static char *config_GetHomeDir(const char *psz_dir, const char *psz_default_dir)
{
    char *psz_home = getenv(""HOME"");
    if (psz_home == NULL)
        goto fallback;

    if (psz_dir == NULL)
        return strdup(psz_home);

    char *psz_fullpath;
    if (asprintf(&psz_fullpath, ""%s/%s"", psz_home, psz_dir) == -1)
        goto fallback;
    if (vlc_mkdir(psz_fullpath, 0700) == -1 && errno != EEXIST)
    {
        free(psz_fullpath);
        goto fallback;
    }
    return psz_fullpath;

fallback:
    return psz_default_dir != NULL ? strdup(psz_default_dir) : NULL;
}",1,1,android\specific.c,config_GetHomeDir,,false,179,200,config_GetHomeDir,,,13,"char* config_GetHomeDir (char*,char*)"
