11,METHOD,core\nginx.c:<global>,TYPE_DECL,<global>,1,6,core\nginx.c,core\nginx.c:<global>,,false,1,1624,<global>,,,1,
13,METHOD,core\nginx.c:<global>,TYPE_DECL,static void ngx_show_version_info(void);,13,39,core\nginx.c,ngx_show_version_info,,false,13,13,ngx_show_version_info,,,1,void ngx_show_version_info (void)
18,METHOD,core\nginx.c:<global>,TYPE_DECL,static ngx_int_t ngx_add_inherited_sockets(ngx_cycle_t *cycle);,18,62,core\nginx.c,ngx_add_inherited_sockets,,false,14,14,ngx_add_inherited_sockets,,,2,ngx_int_t ngx_add_inherited_sockets (ngx_cycle_t*)
23,METHOD,core\nginx.c:<global>,TYPE_DECL,static void ngx_cleanup_environment(void *data);,13,47,core\nginx.c,ngx_cleanup_environment,,false,15,15,ngx_cleanup_environment,,,3,void ngx_cleanup_environment (void*)
28,METHOD,core\nginx.c:<global>,TYPE_DECL,"static ngx_int_t ngx_get_options(int argc, char *const *argv);",18,61,core\nginx.c,ngx_get_options,,false,16,16,ngx_get_options,,,4,"ngx_int_t ngx_get_options (int,char**)"
34,METHOD,core\nginx.c:<global>,TYPE_DECL,static ngx_int_t ngx_process_options(ngx_cycle_t *cycle);,18,56,core\nginx.c,ngx_process_options,,false,17,17,ngx_process_options,,,5,ngx_int_t ngx_process_options (ngx_cycle_t*)
39,METHOD,core\nginx.c:<global>,TYPE_DECL,"static ngx_int_t ngx_save_argv(ngx_cycle_t *cycle, int argc, char *const *argv);",18,79,core\nginx.c,ngx_save_argv,,false,18,18,ngx_save_argv,,,6,"ngx_int_t ngx_save_argv (ngx_cycle_t*,int,char**)"
46,METHOD,core\nginx.c:<global>,TYPE_DECL,static void *ngx_core_module_create_conf(ngx_cycle_t *cycle);,13,60,core\nginx.c,ngx_core_module_create_conf,,false,19,19,ngx_core_module_create_conf,,,7,void* ngx_core_module_create_conf (ngx_cycle_t*)
51,METHOD,core\nginx.c:<global>,TYPE_DECL,"static char *ngx_core_module_init_conf(ngx_cycle_t *cycle, void *conf);",13,70,core\nginx.c,ngx_core_module_init_conf,,false,20,20,ngx_core_module_init_conf,,,8,"char* ngx_core_module_init_conf (ngx_cycle_t*,void*)"
57,METHOD,core\nginx.c:<global>,TYPE_DECL,"static char *ngx_set_user(ngx_conf_t *cf, ngx_command_t *cmd, void *conf);",13,73,core\nginx.c,ngx_set_user,,false,21,21,ngx_set_user,,,9,"char* ngx_set_user (ngx_conf_t*,ngx_command_t*,void*)"
